RHS index deps are: {Variable('i'), Variable('map')}
Done collecting tunits
Done collecting subkernels
frozen_result 0.0024836063385009766 0.021445274353027344
grad_t_operator_fluid 0.00014472007751464844 0.10397720336914062
frozen_f2allf_ind 0.0008440017700195312 0.010871648788452148
frozen_f2allf_ind 0.0008831024169921875 0.010853290557861328
frozen_dt_geometric_v_fluid 0.028810501098632812 0.22342228889465332
frozen_f2allf_ind 0.0008718967437744141 0.011128902435302734
grad_t_operator_fluid 0.0005731582641601562 1.014747142791748
frozen_result 0.0023546218872070312 0.021018505096435547
frozen_f2allf_ind 0.0009005069732666016 0.010888099670410156
frozen_normal_4_b_BTAG_PARTITIONPartIDvolume_tagwallrank 0.01955246925354004 0.15358877182006836
frozen_dt_geometric_v_fluid 0.027534961700439453 0.22319483757019043
frozen_dt_geometric_v_fluid 0.028654813766479492 0.22387266159057617
_lsrk_update 0.015938520431518555 0.2855396270751953
